carat,cut,color,clarity,depth,table,price,x,y,z
1.07,Premium,H,SI1,62.9,61,4440,6.47,6.41,4.05
0.36,Premium,E,VS2,62.5,58,878,4.57,4.52,2.84
0.3,Very Good,D,SI1,61.3,60,552,4.26,4.32,2.63
0.38,Ideal,D,VVS2,62.5,53,1096,4.63,4.68,2.91
0.24,Very Good,E,VVS2,63.1,56,552,3.92,3.97,2.49
1,Very Good,E,VS1,62.3,53,7528,6.35,6.39,3.97
0.41,Ideal,E,VS1,60.8,56,1154,4.84,4.8,2.93
2.01,Very Good,I,VS1,62.9,62,16914,7.98,8.02,5.03
0.34,Ideal,E,VS1,61.2,57,1033,4.51,4.45,2.74
0.72,Ideal,J,SI1,62.6,56,1966,5.67,5.74,3.57
0.9,Good,G,SI1,64.5,57,3615,6.04,6.09,3.91
0.31,Ideal,G,VVS1,60.2,58,676,4.37,4.43,2.65
1.23,Very Good,E,VVS2,60.4,62,11175,6.88,6.93,4.17
1.34,Ideal,D,I1,61.7,55,6303,7.12,7.08,4.38
1.54,Ideal,G,VS2,60.6,57,13761,7.55,7.49,4.56
0.41,Very Good,E,VS1,62,57,1079,4.74,4.77,2.95
0.6,Premium,G,VVS1,60,58,2444,5.53,5.43,3.29
0.3,Premium,D,SI1,61.7,59,709,4.31,4.28,2.65
0.9,Good,H,SI2,61.3,61,3348,6.11,6.16,3.76
0.3,Good,F,VVS1,63.7,59,752,4.17,4.24,2.68
0.38,Ideal,I,VVS2,62,55,721,4.64,4.69,2.89
1.5,Very Good,E,SI1,59.4,59,11325,7.42,7.49,4.43
0.31,Ideal,F,IF,61.1,55,901,4.41,4.43,2.7
2.01,Ideal,G,SI2,61,54,16922,8.01,8.13,4.92
0.9,Good,E,SI2,58.7,63,2982,6.2,6.23,3.65
0.9,Premium,H,SI1,62.4,56,3095,6.13,6.05,3.8
1.01,Very Good,G,SI2,59.3,61,4435,6.56,6.52,3.88
1.55,Ideal,H,IF,61.4,57,13421,7.42,7.47,4.57
0.31,Ideal,D,VS2,62.5,56,734,4.29,4.32,2.69
1.06,Good,E,SI2,63.9,60,4321,6.45,6.41,4.11
0.36,Ideal,E,VS2,61.2,56,789,4.6,4.62,2.82
0.73,Ideal,G,VS1,61.8,57,3041,5.78,5.81,3.58
2.33,Premium,H,I1,60.7,58,8220,8.64,8.56,5.22
1.7,Very Good,I,SI1,63.1,57,10341,7.51,7.46,4.72
2.14,Premium,I,VS2,59.3,59,15418,8.39,8.43,5
1.04,Very Good,G,VS2,62.3,54,6095,6.49,6.55,4.06
2.02,Premium,J,VS2,62,59,13812,8.08,8.06,5
1.18,Premium,I,SI1,61.1,59,4956,6.78,6.73,4.13
0.71,Ideal,E,VS2,61.6,56,3381,5.71,5.75,3.53
0.96,Fair,G,SI2,66.8,61,2539,6.15,6.04,4.07
0.34,Premium,E,VS2,61,59,956,4.51,4.48,2.74
0.71,Good,H,SI1,57.9,62,2354,5.82,5.86,3.38
2.03,Premium,H,SI1,61.7,59,16900,8.17,8.1,5.02
1.16,Ideal,H,SI2,60.9,59,5388,6.72,6.78,4.11
0.92,Good,D,SI1,63.6,57,4086,6.14,6.09,3.89
0.3,Premium,G,VVS1,61.8,59,789,4.28,4.33,2.66
0.3,Ideal,E,VVS1,59.5,60,826,4.36,4.38,2.6
0.64,Ideal,D,VS2,60.7,59,2224,5.58,5.62,3.4
0.31,Good,D,SI1,63.9,54,732,4.3,4.27,2.74
0.3,Ideal,I,VS1,62.2,56,518,4.27,4.31,2.67
0.67,Premium,H,VVS2,60.6,61,2171,5.65,5.61,3.41
1.2,Ideal,E,VVS1,61.6,57,13474,6.78,6.83,4.19
0.7,Ideal,D,VVS2,61.4,56,5539,5.72,5.75,3.53
0.33,Ideal,G,VS1,61.1,55,699,4.5,4.52,2.75
0.32,Ideal,I,VVS2,62.6,54,720,4.41,4.37,2.75
0.91,Very Good,D,VS1,62.5,56,5597,6.14,6.18,3.85
2.02,Ideal,H,SI2,62.4,56,12680,8.14,8.04,5.06
0.41,Premium,E,VS1,59.9,58,1079,4.83,4.88,2.91
2.04,Premium,I,SI2,59.8,59,14605,8.3,8.23,4.94
0.7,Ideal,H,VS1,61.6,55,2530,5.73,5.76,3.54
1.1,Ideal,I,SI1,61.6,55,5199,6.66,6.68,4.11
1.91,Premium,I,SI1,59.6,60,13092,8.02,7.98,4.77
0.5,Ideal,G,VS2,62.5,57,1449,5.04,5.07,3.16
0.55,Ideal,F,SI2,61.2,56,1263,5.29,5.23,3.22
0.41,Ideal,E,SI1,61.8,56,705,4.77,4.78,2.95
0.4,Premium,E,VS2,62.2,58,975,4.72,4.67,2.92
1.29,Good,J,VS2,58.2,61,5898,7.07,7.12,4.13
1.2,Ideal,J,VS2,61.8,55,5318,6.84,6.86,4.23
0.81,Ideal,H,SI2,63,57,2313,5.94,5.9,3.73
2.01,Very Good,H,SI2,63.4,60,11780,7.97,7.89,5.03
0.5,Good,G,SI2,63.8,57,1009,4.98,5.02,3.19
0.53,Ideal,I,VS2,60.3,60,1279,5.25,5.22,3.16
0.36,Premium,F,SI1,62.3,59,770,4.56,4.5,2.82
0.42,Ideal,G,IF,62.3,54,1289,4.82,4.85,3.01
0.47,Ideal,H,VS2,61.7,57,1136,4.99,5.03,3.09
0.3,Ideal,H,VVS2,62.6,55,776,4.28,4.25,2.67
0.9,Premium,H,VS1,62.1,59,4234,6.14,6.09,3.8
0.55,Ideal,D,VS2,61,56,1645,5.28,5.31,3.23
0.73,Very Good,J,VS2,62.7,57,2101,5.71,5.74,3.59
0.72,Very Good,H,VS2,62.5,58,2444,5.67,5.73,3.56
0.52,Ideal,D,VVS1,62,57,3247,5.17,5.15,3.2
1.61,Ideal,I,SI1,62.7,55,9439,7.48,7.54,4.71
1.03,Ideal,F,SI1,62,56,5974,6.47,6.5,4.02
0.51,Very Good,E,VS1,64.4,55,1634,5.03,5.07,3.25
0.35,Ideal,E,VS2,61.5,55,767,4.52,4.56,2.79
0.41,Very Good,I,SI1,63.3,60,680,4.71,4.64,2.96
0.42,Very Good,H,VS2,60.9,55,1190,4.87,4.89,2.97
0.26,Ideal,F,VVS2,62.5,56,769,4.12,4.1,2.57
0.3,Ideal,G,VS1,61.8,54,776,4.32,4.29,2.66
0.5,Ideal,H,VVS1,61.9,54,1648,5.13,5.14,3.18
0.32,Good,D,I1,64,54,361,4.33,4.36,2.78
0.31,Ideal,F,VS2,62.3,57,625,4.3,4.34,2.69
1,Very Good,G,VVS2,62.7,57,7950,6.32,6.37,3.98
0.5,Very Good,G,VS1,62.1,55,1624,5.06,5.22,3.19
0.95,Ideal,H,SI1,61.9,56,4958,6.31,6.35,3.92
0.27,Very Good,D,VS2,63,57,419,4.06,4.1,2.57
0.9,Very Good,F,SI1,61.7,60,3950,6.16,6.22,3.82
0.93,Good,D,SI2,64.5,58,3839,6.11,6.14,3.95
1.03,Premium,F,SI2,61.6,58,4503,6.43,6.46,3.97
1.43,Fair,I,VS1,50.8,60,6727,7.73,7.25,3.93
0.54,Ideal,D,VVS1,61.3,56,4042,5.24,5.26,3.22
0.32,Ideal,E,VVS2,61.5,56,816,4.43,4.45,2.73
1.01,Good,H,SI1,64,58,4191,6.37,6.31,4.06
0.52,Ideal,E,VS1,62.6,57,1668,5.11,5.15,3.21
0.58,Ideal,F,VVS2,62.2,56,2509,5.32,5.35,3.32
0.7,Ideal,E,VS1,62.2,58,3309,5.67,5.71,3.54
0.27,Ideal,E,VVS1,62.3,56,622,4.15,4.17,2.59
0.24,Very Good,G,VVS1,62.3,59,432,3.92,3.95,2.45
0.31,Ideal,F,VS1,60.6,56,680,4.39,4.42,2.67
0.37,Premium,E,VS2,62.3,59,1041,4.59,4.56,2.85
0.55,Ideal,E,SI1,60.9,56,1556,5.32,5.28,3.23
0.31,Very Good,E,SI1,60.1,61,544,4.35,4.4,2.63
1.01,Very Good,E,VVS2,63.1,57,8849,6.31,6.39,4.01
1.01,Very Good,E,VS2,63.4,60,6787,6.37,6.31,4.02
0.51,Ideal,E,VVS1,62.4,55,2317,5.08,5.12,3.18
1.71,Good,I,SI1,63.2,57,9881,7.49,7.53,4.75
1.1,Ideal,J,SI2,60.9,56,4157,6.68,6.72,4.08
0.34,Ideal,H,VS1,62.3,55,765,4.48,4.45,2.78
0.71,Ideal,J,VVS2,60.5,58,2162,5.77,5.8,3.5
0.31,Premium,E,VS1,61.7,58,734,4.3,4.36,2.67
1.01,Very Good,I,SI1,63.4,62,4072,6.25,6.18,3.94
0.4,Ideal,D,VS2,62.2,55,909,4.72,4.74,2.94
0.71,Very Good,H,SI1,61.2,56,2076,5.69,5.72,3.49
0.42,Premium,E,SI1,62.3,58,992,4.81,4.76,2.98
1.73,Fair,H,SI2,65.9,58,6007,7.52,7.45,4.93
0.31,Premium,H,SI1,61,61,558,4.39,4.33,2.66
1.01,Premium,F,VS2,61.7,58,7240,6.47,6.43,3.98
0.4,Premium,D,SI1,59.9,60,990,4.77,4.75,2.85
0.55,Premium,F,SI1,61.9,59,1617,5.29,5.24,3.26
1.7,Very Good,E,VS2,58.6,62,18176,7.84,7.92,4.62
0.84,Ideal,D,SI1,62.4,57,3685,6.03,6.08,3.78
1.32,Very Good,I,SI1,62.1,57,6810,6.99,7.09,4.37
0.43,Ideal,H,VVS1,61.7,56,987,4.86,4.9,3.01
0.32,Premium,E,SI1,61.2,58,672,4.42,4.37,2.69
0.3,Very Good,E,VVS2,63.2,56,622,4.23,4.28,2.69
0.51,Very Good,F,VS2,61,58,1569,5.1,5.17,3.13
0.52,Premium,G,SI1,59.7,60,1306,5.22,5.2,3.11
0.32,Ideal,H,VS1,60.2,56,561,4.44,4.49,2.69
0.72,Very Good,E,VVS2,59.3,60,3374,5.87,5.83,3.47
0.81,Ideal,H,VS2,61.6,56,3084,6.03,5.98,3.7
0.35,Very Good,H,SI1,61,62,491,4.52,4.56,2.77
1.2,Very Good,J,SI2,61.8,56,4102,6.81,6.85,4.22
0.32,Ideal,H,SI2,61.9,54,420,4.42,4.46,2.75
0.96,Good,I,I1,58.6,64,2333,6.34,6.26,3.69
0.51,Ideal,F,VS1,61.7,54,1836,5.17,5.14,3.18
1.11,Ideal,F,VVS1,59.7,58,12956,6.7,6.74,4.01
0.7,Ideal,F,SI1,61,56,2700,5.75,5.72,3.5
0.32,Very Good,E,IF,61.4,55,1018,4.43,4.46,2.73
1.04,Ideal,F,SI1,61.4,56,5663,6.52,6.58,4.02
1.01,Very Good,H,SI1,62.5,58,4052,6.37,6.42,4
0.46,Ideal,H,VS1,61.2,55,1401,4.96,5.04,3.06
1.03,Very Good,D,VS1,60.5,60,8437,6.52,6.57,3.96
0.61,Very Good,E,VS1,59.6,63,2025,5.44,5.57,3.28
0.53,Ideal,I,IF,62.1,55,1654,5.18,5.22,3.23
1.05,Very Good,E,SI1,60.7,56,5770,6.54,6.6,3.99
2.12,Premium,E,SI2,62.4,58,13884,8.22,8.18,5.12
1.01,Good,G,SI1,59.8,61,5277,6.45,6.49,3.87
0.71,Very Good,D,VS2,63.1,58,3222,5.67,5.7,3.59
0.58,Ideal,F,VVS2,62,56,2509,5.32,5.36,3.31
2.01,Ideal,H,SI1,62.8,54,18186,8.03,8.08,5.05
0.4,Ideal,F,VVS1,61.3,56,1263,4.73,4.76,2.91
0.7,Good,E,SI1,63.8,57,2569,5.59,5.63,3.58
1.2,Very Good,E,VVS2,63.2,56,11456,6.73,6.78,4.27
0.61,Very Good,J,SI2,58.1,63,1125,5.62,5.6,3.26
0.25,Ideal,H,VS2,61,55,367,4.09,4.11,2.5
0.7,Ideal,F,SI1,59.9,57,2264,5.74,5.82,3.46
1.35,Premium,G,VS1,61,59,10415,7.15,7.09,4.34
1,Premium,I,SI1,58.5,59,3808,6.56,6.54,3.83
0.26,Premium,E,VVS2,60.8,61,724,4.13,4.12,2.51
0.9,Ideal,G,SI1,62.4,55,4036,6.19,6.15,3.85
0.51,Premium,E,VS2,60.6,60,1614,5.2,5.19,3.15
0.51,Premium,D,VS1,59.5,57,1873,5.24,5.21,3.11
0.41,Ideal,E,VVS1,61.3,56,1431,4.81,4.79,2.94
0.37,Ideal,F,VVS2,61.1,56,987,4.62,4.65,2.83
0.48,Good,F,SI1,59.3,64,994,5.13,5.1,3.03
1.24,Premium,F,VS1,62.5,58,10033,6.87,6.83,4.28
0.3,Very Good,D,VS1,61.2,55,610,4.32,4.34,2.65
0.4,Ideal,E,VVS2,62.5,54,926,4.75,4.76,2.97
0.38,Good,J,VVS2,63.4,56,666,4.56,4.62,2.91
1.52,Good,H,SI1,63.6,57,10078,7.3,7.25,4.63
1.06,Premium,D,VS2,62.3,59,7541,6.48,6.52,4.05
1.23,Very Good,J,VS2,62.8,59,4960,6.75,6.82,4.26
0.72,Very Good,J,VVS1,60.1,58,2208,5.8,5.84,3.5
0.42,Ideal,H,SI1,62.2,57,700,4.78,4.8,2.98
0.33,Premium,E,VS2,61,60,723,4.42,4.47,2.71
1.04,Very Good,D,SI2,62.9,58,5265,6.41,6.47,4.05
0.91,Very Good,H,SI1,59.2,60,3998,6.3,6.41,3.76
0.9,Good,H,SI2,63.5,58,2889,6.09,6.14,3.88
0.31,Ideal,I,VS2,61,57,452,4.37,4.38,2.67
0.3,Ideal,G,VVS1,62.9,57,1013,4.3,4.26,2.69
0.3,Premium,E,VVS2,61.3,59,1013,4.32,4.3,2.64
1.14,Very Good,I,VS2,62.5,59,4785,6.63,6.66,4.15
0.58,Premium,G,VVS2,59.7,59,2095,5.45,5.4,3.24
1.06,Ideal,F,VS2,61.4,56,7641,6.56,6.61,4.04
0.35,Ideal,G,VVS1,61.2,56,887,4.55,4.57,2.79
0.32,Good,H,VS1,63.1,57,561,4.34,4.37,2.75
0.52,Ideal,H,VS1,62.5,58,1582,5.14,5.17,3.22
0.71,Premium,D,SI1,61.3,58,2797,5.73,5.75,3.52
0.53,Premium,D,VS2,62.4,59,1877,5.18,5.14,3.22
0.91,Very Good,G,VS1,63.2,58,4209,6.15,6.07,3.86
2,Very Good,J,SI1,62.2,59,12196,7.92,7.97,4.94
1.3,Premium,I,VS1,62.2,59,6931,6.97,6.91,4.32
0.28,Very Good,E,VVS2,61.4,60,596,4.18,4.22,2.58
1.01,Ideal,E,VS2,61.5,57,7421,6.48,6.44,3.97
1.01,Ideal,G,IF,62.8,57,8778,6.42,6.39,4.02
0.4,Very Good,F,VVS1,58.9,59,1236,4.81,4.84,2.84
1,Premium,F,SI1,61.2,58,5292,6.44,6.4,3.93
0.53,Very Good,F,VS2,61.9,58,1631,5.17,5.2,3.21
1.5,Premium,G,VS1,62.7,58,14105,7.25,7.3,4.56
0.38,Ideal,F,SI1,61.1,57,660,4.7,4.72,2.88
0.59,Ideal,D,SI1,61,57,1816,5.43,5.46,3.32
1.31,Ideal,G,VS1,61.6,57,12008,6.99,7.04,4.32
0.31,Ideal,H,VS2,62.2,55,489,4.35,4.37,2.71
0.62,Ideal,I,SI1,61.9,54,1271,5.48,5.5,3.4
1.01,Ideal,G,VS2,62.6,56,6964,6.41,6.44,4.02
2.07,Premium,I,SI1,62.9,59,16392,8.15,8.09,5.11
0.77,Premium,D,SI1,59.5,60,2939,6.01,5.95,3.56
0.71,Premium,F,SI1,59.7,60,2633,5.82,5.77,3.46
0.5,Fair,G,SI2,65.6,56,1035,4.99,4.92,3.25
1.68,Ideal,I,VS2,62.1,57,10800,7.6,7.54,4.7
1.6,Ideal,G,VS1,62,57,9856,7.47,7.43,4.62
0.6,Good,F,SI1,63.7,61,1367,5.24,5.21,3.33
1.22,Ideal,H,SI1,61.8,57,6654,6.83,6.85,4.23
1.5,Very Good,E,SI2,63.1,57,8820,7.32,7.27,4.6
0.64,Very Good,G,SI1,64,53.8,1665,5.49,5.53,3.53
0.9,Good,G,SI1,63.7,60,3669,6.11,6.07,3.88
1.07,Premium,H,SI2,62.2,59,4119,6.47,6.53,4.04
0.31,Very Good,G,IF,60.8,56,878,4.41,4.44,2.69
0.36,Ideal,E,VS2,61,54,747,4.6,4.64,2.82
0.3,Premium,H,VS2,62.2,59,473,4.28,4.31,2.67
0.76,Very Good,F,SI1,62.9,57,2770,5.79,5.81,3.65
0.73,Ideal,G,SI1,62.1,56,2654,5.74,5.79,3.58
0.7,Ideal,G,VS2,61.6,56,3451,5.7,5.73,3.52
0.78,Very Good,E,SI1,59.8,57,3385,5.98,6.02,3.59
0.31,Premium,G,SI1,61.4,58,462,4.31,4.35,2.66
1.36,Ideal,J,VVS2,61.9,56,6973,7.16,7.13,4.42
1.3,Premium,I,VS2,60.3,60,5242,7.01,6.99,4.22
0.77,Ideal,I,SI2,61.6,57,2425,5.87,5.92,3.63
0.31,Good,H,SI1,63.6,57,446,4.32,4.33,2.75
0.36,Very Good,D,SI1,60.1,57,663,4.62,4.66,2.79
0.72,Ideal,E,VVS2,62.1,56,4285,5.72,5.77,3.57
0.32,Ideal,F,VS2,61.1,57,645,4.4,4.44,2.7
0.59,Ideal,D,SI1,62.5,55,1820,5.35,5.4,3.36
0.32,Premium,F,VS2,61.5,58,828,4.42,4.39,2.71
0.64,Premium,D,SI1,62.3,58,2074,5.53,5.49,3.43
0.25,Very Good,E,VS2,61.3,57,480,4.05,4.08,2.49
0.55,Good,H,SI1,63.6,55,1175,5.18,5.23,3.31
0.41,Premium,F,VVS1,61.8,59,1295,4.74,4.77,2.94
0.7,Premium,F,SI1,61.9,58,2319,5.69,5.65,3.51
1.64,Ideal,F,SI2,61.4,57,10733,7.55,7.59,4.65
0.51,Good,E,SI1,63.6,59,1170,5.13,5.06,3.24
0.89,Premium,H,SI2,60.2,59,2815,6.26,6.23,3.76
0.33,Very Good,F,VVS1,60.1,56,841,4.53,4.56,2.73
