date_time,pressure_mbar,temperature_celsius,dew_point_celsius,relative_humidity_percent,vapor_pressure_actual_mbar,specific_humidity_g_per_kg,air_density_g_per_m_cubed,wind_velocity_m_per_s,wind_direction_degrees,rainfall_mm,season
2020-01-01 22:00:00,1004.76,-3.21,-4.03,94.0,4.53,2.81,1294.41,1.2,171.8,0.0,winter
2020-01-01 23:00:00,1004.56,-3.19,-3.94,94.5,4.56,2.83,1294.02,0.15,356.9,0.0,winter
2020-01-02 00:00:00,1004.16,-3.39,-4.58,91.4,4.34,2.7,1294.57,0.27,52.68,0.0,winter
2020-01-02 01:00:00,1003.96,-4.23,-5.6,90.1,4.02,2.49,1298.54,0.75,182.2,0.0,winter
2020-01-02 02:00:00,1003.76,-4.2,-5.14,93.1,4.16,2.58,1298.05,0.79,210.3,0.0,winter
2020-01-02 03:00:00,1003.38,-4.86,-5.88,92.5,3.93,2.44,1300.84,0.65,104.9,0.0,winter
2020-01-02 04:00:00,1003.12,-4.72,-5.78,92.2,3.96,2.46,1299.82,0.69,150.9,0.0,winter
2020-01-02 05:00:00,1002.82,-5.43,-6.81,89.9,3.66,2.27,1303.01,1.37,209.1,0.0,winter
2020-01-02 06:00:00,1002.53,-5.45,-6.63,91.3,3.71,2.31,1302.73,0.43,111.0,0.0,winter
2020-01-02 07:00:00,1002.41,-5.47,-6.88,89.7,3.64,2.26,1302.71,0.4,144.8,0.0,winter
2020-01-02 08:00:00,1002.38,-5.13,-6.97,86.8,3.62,2.25,1301.04,0.59,125.8,0.0,winter
2020-01-02 09:00:00,1002.19,-4.39,-6.71,83.7,3.69,2.29,1297.16,0.66,148.2,0.0,winter
2020-01-02 10:00:00,1001.81,-4.16,-6.5,83.6,3.75,2.33,1295.51,0.94,148.0,0.0,winter
2020-01-02 11:00:00,1001.32,-1.24,-5.31,73.7,4.11,2.56,1280.83,1.19,207.6,0.0,winter
2020-01-02 12:00:00,1000.7,1.06,-4.72,65.15,4.3,2.68,1269.18,1.67,232.1,0.0,winter
2020-01-02 13:00:00,999.58,4.98,-3.81,52.83,4.6,2.87,1249.78,1.01,201.3,0.0,winter
2020-01-02 14:00:00,998.88,6.22,-2.02,55.42,5.27,3.29,1243.03,1.04,180.4,0.0,winter
2020-01-02 15:00:00,998.65,5.66,-1.42,60.22,5.5,3.43,1245.15,2.44,195.8,0.0,winter
2020-01-02 16:00:00,998.97,4.28,-1.39,66.44,5.51,3.44,1251.72,0.94,172.8,0.0,winter
2020-01-02 17:00:00,999.45,2.88,-1.99,70.2,5.28,3.29,1258.78,1.67,19.38,0.0,winter
2020-01-02 18:00:00,999.58,1.41,-2.28,76.3,5.16,3.22,1265.74,2.35,239.6,0.0,winter
2020-01-02 19:00:00,999.99,-0.08,-2.82,81.7,4.96,3.09,1273.27,0.94,186.9,0.0,winter
2020-01-02 20:00:00,1000.08,-0.29,-2.67,83.9,5.02,3.13,1274.34,2.27,198.5,0.0,winter
2020-01-02 21:00:00,999.7,-0.49,-2.67,85.1,5.02,3.13,1274.77,1.42,211.7,0.0,winter
2020-01-02 22:00:00,999.17,0.09,-2.07,85.3,5.24,3.27,1271.29,2.34,150.2,0.0,winter
2020-01-02 23:00:00,998.56,0.25,-1.85,85.7,5.33,3.33,1269.72,0.81,133.1,0.0,winter
2020-01-03 00:00:00,998.45,0.88,-1.22,85.8,5.59,3.49,1266.56,1.49,56.56,0.0,winter
2020-01-03 01:00:00,997.93,1.42,-0.56,86.6,5.86,3.66,1263.26,1.18,187.1,0.0,winter
2020-01-03 02:00:00,997.14,1.96,-0.27,85.1,5.99,3.74,1259.75,3.7,194.7,0.0,winter
2020-01-03 03:00:00,996.73,1.92,-0.02,86.9,6.1,3.82,1259.32,3.21,189.8,0.0,winter
2020-01-03 04:00:00,996.14,3.05,0.54,83.5,6.35,3.98,1253.3,3.14,178.4,0.0,winter
2020-01-03 05:00:00,995.58,3.26,0.97,84.9,6.56,4.11,1251.57,4.98,207.3,0.0,winter
2020-01-03 06:00:00,995.36,2.33,0.44,87.3,6.31,3.95,1255.64,4.12,175.1,0.0,winter
2020-01-03 07:00:00,995.16,2.62,0.53,86.0,6.35,3.98,1254.03,3.54,177.3,0.0,winter
2020-01-03 08:00:00,994.6,3.37,0.97,84.2,6.55,4.11,1249.82,4.51,196.6,0.0,winter
2020-01-03 09:00:00,994.4,3.3,0.82,83.7,6.48,4.07,1249.92,2.23,175.9,0.0,winter
2020-01-03 10:00:00,994.02,3.32,0.89,84.0,6.52,4.09,1249.34,3.16,156.8,0.0,winter
2020-01-03 11:00:00,993.62,4.0,1.27,82.3,6.7,4.2,1245.68,1.61,160.2,0.0,winter
2020-01-03 12:00:00,992.75,4.74,1.82,81.3,6.97,4.38,1241.15,1.19,165.0,0.0,winter
2020-01-03 13:00:00,991.91,6.98,2.62,73.7,7.38,4.64,1229.99,3.01,194.9,0.0,winter
2020-01-03 14:00:00,991.35,6.67,2.53,74.8,7.33,4.61,1230.67,8.79,211.6,0.0,winter
2020-01-03 15:00:00,991.47,6.45,2.67,76.7,7.4,4.66,1231.78,6.4,212.1,0.0,winter
2020-01-03 16:00:00,991.7,6.65,2.85,76.6,7.5,4.72,1231.12,4.93,208.1,0.0,winter
2020-01-03 17:00:00,991.89,6.62,3.03,77.8,7.6,4.78,1231.47,3.62,201.6,0.0,winter
2020-01-03 18:00:00,991.96,6.54,3.33,79.9,7.76,4.88,1231.81,4.04,196.3,0.0,winter
2020-01-03 19:00:00,991.44,6.79,3.59,80.0,7.91,4.97,1230.01,5.25,201.1,0.0,winter
2020-01-03 20:00:00,991.33,7.33,4.01,79.4,8.14,5.13,1227.38,6.33,209.0,0.0,winter
2020-01-03 21:00:00,991.53,7.82,4.38,78.8,8.36,5.26,1225.39,6.1,215.5,0.0,winter
2020-01-03 22:00:00,992.51,7.97,4.74,80.0,8.57,5.39,1225.85,2.76,215.3,0.0,winter
2020-01-03 23:00:00,993.79,7.83,5.3,84.0,8.92,5.6,1227.88,1.37,218.4,0.0,winter
2020-01-04 00:00:00,995.29,6.61,4.69,87.5,8.54,5.36,1235.27,1.84,292.7,0.0,winter
2020-01-04 01:00:00,996.81,5.23,2.77,84.1,7.46,4.67,1243.84,1.79,269.9,0.0,winter
2020-01-04 02:00:00,997.76,4.87,2.36,83.7,7.24,4.53,1246.71,1.45,291.1,0.0,winter
2020-01-04 03:00:00,998.0,4.13,1.81,84.8,6.96,4.35,1250.5,1.71,275.5,0.0,winter
2020-01-04 04:00:00,997.83,3.76,0.95,81.8,6.54,4.09,1252.17,1.16,279.3,0.0,winter
2020-01-04 05:00:00,998.01,3.69,0.59,80.1,6.38,3.98,1252.75,1.66,263.3,0.0,winter
2020-01-04 06:00:00,998.23,3.64,0.36,79.0,6.27,3.91,1253.31,2.19,250.9,0.0,winter
2020-01-04 07:00:00,998.24,3.31,0.28,80.4,6.23,3.89,1254.83,1.1,154.1,0.0,winter
2020-01-04 08:00:00,998.76,3.27,-0.11,78.4,6.06,3.78,1255.77,1.37,177.5,0.0,winter
2020-01-04 09:00:00,998.59,3.27,-0.47,76.4,5.9,3.68,1255.64,1.97,213.6,0.0,winter
2020-01-04 10:00:00,998.56,3.6,-0.62,73.8,5.84,3.64,1254.12,2.13,226.2,0.0,winter
2020-01-04 11:00:00,998.18,3.87,-0.29,74.2,5.98,3.74,1252.36,1.89,227.8,0.0,winter
2020-01-04 12:00:00,997.41,4.23,-0.01,73.8,6.1,3.81,1249.71,3.44,232.5,0.0,winter
2020-01-04 13:00:00,996.22,4.77,0.11,71.7,6.16,3.85,1245.77,1.88,217.6,0.0,winter
2020-01-04 14:00:00,995.61,5.31,0.24,69.71,6.22,3.89,1242.56,4.26,238.0,0.0,winter
2020-01-04 15:00:00,996.11,4.55,1.5,80.5,6.81,4.26,1246.29,3.5,250.7,0.1,winter
2020-01-04 16:00:00,996.09,4.6,1.75,81.7,6.93,4.34,1245.99,3.56,239.7,0.0,winter
2020-01-04 17:00:00,996.34,4.94,1.93,80.8,7.02,4.4,1244.74,2.35,242.5,0.0,winter
2020-01-04 18:00:00,996.95,5.21,2.23,81.0,7.17,4.49,1244.22,3.05,253.9,0.0,winter
2020-01-04 19:00:00,999.26,1.93,0.66,91.2,6.41,4.0,1262.34,1.79,265.4,0.3,winter
2020-01-04 20:00:00,999.69,2.07,0.56,89.7,6.36,3.97,1262.29,2.32,259.6,0.0,winter
2020-01-04 21:00:00,1000.9,2.21,0.55,88.7,6.36,3.96,1263.16,2.56,250.4,0.0,winter
2020-01-04 22:00:00,1002.3,2.22,0.37,87.5,6.28,3.9,1264.91,2.38,255.9,0.0,winter
2020-01-04 23:00:00,1002.87,1.91,-0.43,84.4,5.92,3.68,1267.24,2.74,251.4,0.0,winter
2020-01-05 00:00:00,1003.45,1.47,-0.71,85.3,5.8,3.6,1270.05,1.85,246.4,0.0,winter
2020-01-05 01:00:00,1004.34,2.05,-1.21,78.9,5.59,3.47,1268.61,1.59,256.2,0.0,winter
2020-01-05 02:00:00,1005.09,2.07,-1.06,79.7,5.65,3.51,1269.47,2.29,253.3,0.0,winter
2020-01-05 03:00:00,1005.65,2.14,-1.11,79.0,5.63,3.49,1269.85,2.35,251.4,0.0,winter
2020-01-05 04:00:00,1006.21,2.17,-1.19,78.3,5.6,3.47,1270.41,2.17,256.8,0.0,winter
2020-01-05 05:00:00,1006.5,2.02,-1.17,79.3,5.61,3.47,1271.49,1.54,252.4,0.0,winter
2020-01-05 06:00:00,1006.95,2.1,-1.62,76.3,5.42,3.36,1271.77,1.77,252.3,0.0,winter
2020-01-05 07:00:00,1007.18,2.28,-2.32,71.5,5.15,3.19,1271.38,1.57,250.1,0.0,winter
2020-01-05 08:00:00,1007.47,2.33,-2.62,69.69,5.04,3.11,1271.56,1.28,256.1,0.0,winter
2020-01-05 09:00:00,1008.42,2.25,-2.63,70.0,5.03,3.11,1273.12,1.75,251.8,0.0,winter
2020-01-05 10:00:00,1008.79,1.93,-1.16,79.9,5.61,3.47,1274.81,0.8,157.1,0.0,winter
2020-01-05 11:00:00,1008.92,2.38,-1.11,77.6,5.63,3.48,1272.85,1.13,206.9,0.0,winter
2020-01-05 12:00:00,1008.61,3.12,-2.01,68.9,5.27,3.26,1269.22,2.57,202.6,0.0,winter
2020-01-05 13:00:00,1008.16,3.47,-1.86,67.99,5.33,3.29,1267.05,2.04,210.6,0.0,winter
2020-01-05 14:00:00,1007.43,4.07,-1.65,66.15,5.41,3.35,1263.33,2.6,208.4,0.0,winter
2020-01-05 15:00:00,1007.39,4.29,-1.38,66.46,5.52,3.42,1262.23,1.85,228.1,0.0,winter
2020-01-05 16:00:00,1007.77,3.47,-1.2,71.4,5.6,3.46,1266.44,1.26,237.4,0.0,winter
2020-01-05 17:00:00,1007.73,3.41,-0.58,75.0,5.85,3.62,1266.54,0.4,245.3,0.0,winter
2020-01-05 18:00:00,1007.74,3.1,-0.45,77.4,5.91,3.65,1267.95,1.58,213.4,0.0,winter
2020-01-05 19:00:00,1007.43,2.88,0.14,82.1,6.17,3.82,1268.43,1.77,215.9,0.0,winter
2020-01-05 20:00:00,1007.3,3.03,0.42,82.9,6.3,3.9,1267.52,2.13,175.6,0.0,winter
2020-01-05 21:00:00,1007.16,3.0,0.51,83.6,6.34,3.92,1267.46,2.33,156.0,0.0,winter
2020-01-05 22:00:00,1007.03,2.87,0.46,84.1,6.32,3.91,1267.9,1.91,168.9,0.0,winter
2020-01-05 23:00:00,1006.8,3.14,0.61,83.4,6.39,3.95,1266.33,1.89,172.7,0.0,winter
2020-01-06 00:00:00,1006.17,3.32,0.77,83.3,6.46,4.0,1264.66,1.15,177.2,0.0,winter
2020-01-06 01:00:00,1005.77,3.38,0.83,83.3,6.49,4.02,1263.9,1.61,197.7,0.0,winter
2020-01-06 02:00:00,1005.22,3.33,0.82,83.5,6.48,4.02,1263.4,1.96,209.2,0.0,winter
2020-01-06 03:00:00,1004.85,3.34,0.84,83.6,6.49,4.03,1262.92,1.84,205.5,0.0,winter
2020-01-06 04:00:00,1004.48,3.0,0.93,86.2,6.54,4.06,1263.96,0.88,141.0,0.0,winter
2020-01-06 05:00:00,1003.99,3.03,0.96,86.2,6.55,4.07,1263.23,1.07,143.2,0.0,winter
2020-01-06 06:00:00,1003.89,2.87,0.94,87.1,6.54,4.06,1263.84,1.63,142.0,0.0,winter
2020-01-06 07:00:00,1003.74,3.12,1.06,86.3,6.6,4.1,1262.49,0.3,318.8,0.0,winter
2020-01-06 08:00:00,1003.86,3.25,1.01,85.2,6.57,4.08,1262.05,0.52,154.6,0.0,winter
2020-01-06 09:00:00,1003.56,3.13,1.07,86.3,6.6,4.1,1262.21,0.8,175.3,0.0,winter
2020-01-06 10:00:00,1003.24,3.35,1.18,85.6,6.65,4.14,1260.76,0.35,185.0,0.0,winter
2020-01-06 11:00:00,1002.79,3.28,1.2,86.2,6.67,4.15,1260.51,0.83,154.0,0.0,winter
2020-01-06 12:00:00,1002.04,4.16,1.07,80.2,6.6,4.11,1255.58,1.29,191.1,0.0,winter
2020-01-06 13:00:00,1001.18,4.42,1.06,78.7,6.6,4.11,1253.33,1.58,179.3,0.0,winter
2020-01-06 14:00:00,1000.38,4.46,0.67,76.3,6.41,4.0,1252.26,2.81,176.8,0.0,winter
2020-01-06 15:00:00,999.69,5.05,-0.09,69.25,6.07,3.78,1248.89,3.26,189.4,0.0,winter
2020-01-06 16:00:00,999.17,4.3,-0.51,70.8,5.88,3.67,1251.72,2.2,196.5,0.0,winter
2020-01-06 17:00:00,998.78,3.3,-0.82,74.3,5.75,3.59,1255.81,2.04,222.5,0.0,winter
2020-01-06 18:00:00,998.11,2.15,-0.91,80.1,5.72,3.57,1260.2,2.43,201.4,0.0,winter
2020-01-06 19:00:00,997.53,1.38,-1.32,82.1,5.54,3.46,1263.08,1.07,197.9,0.0,winter
2020-01-06 20:00:00,997.24,-0.03,-1.83,87.6,5.34,3.34,1269.35,0.92,144.3,0.0,winter
2020-01-06 21:00:00,996.95,-0.55,-1.96,90.1,5.29,3.31,1271.4,2.37,190.1,0.0,winter
2020-01-06 22:00:00,996.4,-1.27,-2.32,92.5,5.15,3.22,1274.15,1.72,203.1,0.0,winter
2020-01-06 23:00:00,995.83,-1.3,-2.41,92.1,5.11,3.2,1273.59,1.33,189.9,0.0,winter
2020-01-07 00:00:00,995.38,-0.8,-2.29,89.6,5.16,3.23,1270.65,1.63,194.1,0.0,winter
2020-01-07 01:00:00,994.8,-0.55,-2.3,87.9,5.16,3.23,1268.74,2.33,210.4,0.0,winter
2020-01-07 02:00:00,994.68,-0.01,-2.13,85.6,5.22,3.27,1266.06,1.49,214.7,0.0,winter
2020-01-07 03:00:00,995.01,-0.08,-2.07,86.4,5.25,3.29,1266.78,1.61,235.3,0.0,winter
2020-01-07 04:00:00,996.14,0.63,-1.73,84.1,5.38,3.37,1264.85,0.49,235.8,0.0,winter
2020-01-07 05:00:00,995.98,0.74,-1.72,83.5,5.38,3.37,1264.14,0.73,174.5,0.0,winter
2020-01-07 06:00:00,996.53,0.72,-1.53,84.8,5.46,3.41,1264.89,0.21,195.9,0.0,winter
2020-01-07 07:00:00,997.03,0.7,-1.55,84.8,5.45,3.41,1265.65,0.78,181.9,0.0,winter
2020-01-07 08:00:00,997.38,1.47,-0.6,86.0,5.84,3.65,1262.34,1.64,193.5,0.0,winter
2020-01-07 09:00:00,998.77,1.47,-0.67,85.6,5.82,3.63,1264.1,1.39,139.7,0.0,winter
2020-01-07 10:00:00,999.6,1.56,0.11,90.0,6.16,3.84,1264.58,0.96,143.2,0.0,winter
2020-01-07 11:00:00,1000.42,2.28,0.72,89.4,6.44,4.01,1262.2,0.43,209.6,0.0,winter
2020-01-07 12:00:00,1000.82,3.37,2.13,91.6,7.13,4.44,1257.42,0.97,213.5,0.0,winter
2020-01-07 13:00:00,1000.92,4.05,2.61,90.3,7.37,4.59,1254.33,0.96,143.0,0.0,winter
2020-01-07 14:00:00,1000.99,4.96,2.51,84.1,7.32,4.56,1250.33,1.37,211.8,0.0,winter
2020-01-07 15:00:00,1001.46,5.09,2.43,82.9,7.28,4.53,1250.36,1.09,220.4,0.0,winter
2020-01-07 16:00:00,1001.76,5.14,2.26,81.6,7.19,4.48,1250.54,1.1,256.4,0.0,winter
2020-01-07 17:00:00,1002.14,4.77,2.34,84.2,7.23,4.5,1252.65,1.66,219.8,0.0,winter
2020-01-07 18:00:00,1002.83,4.98,1.97,80.8,7.04,4.38,1252.67,3.29,217.0,0.0,winter
2020-01-07 19:00:00,1002.76,4.69,1.25,78.3,6.69,4.16,1254.06,4.62,223.1,0.0,winter
2020-01-07 20:00:00,1002.51,4.39,1.0,78.5,6.57,4.08,1255.15,3.18,223.1,0.0,winter
2020-01-07 21:00:00,1002.3,3.11,0.48,82.8,6.32,3.93,1260.84,2.84,218.2,0.0,winter
2020-01-07 22:00:00,1001.64,2.17,0.15,86.4,6.17,3.84,1264.37,2.49,210.7,0.0,winter
2020-01-07 23:00:00,1001.24,1.71,0.07,88.8,6.14,3.82,1266.0,2.29,197.4,0.0,winter
2020-01-08 00:00:00,1000.97,1.58,0.03,89.4,6.12,3.81,1266.25,1.84,197.4,0.0,winter
2020-01-08 01:00:00,1000.49,1.6,0.2,90.4,6.2,3.86,1265.53,1.41,174.4,0.0,winter
2020-01-08 02:00:00,1000.34,2.69,0.69,86.6,6.42,4.0,1260.21,0.54,236.5,0.0,winter
2020-01-08 03:00:00,999.89,3.57,0.81,82.1,6.48,4.04,1255.65,0.77,193.3,0.0,winter
2020-01-08 04:00:00,999.1,4.36,1.0,78.7,6.57,4.1,1251.03,3.96,182.9,0.0,winter
2020-01-08 05:00:00,998.52,4.12,0.73,78.5,6.44,4.02,1251.43,2.32,175.3,0.0,winter
2020-01-08 06:00:00,998.35,5.4,0.28,69.43,6.23,3.89,1245.57,2.83,196.6,0.0,winter
2020-01-08 07:00:00,997.78,5.12,0.62,72.6,6.39,3.99,1246.04,3.12,183.6,0.0,winter
2020-01-08 08:00:00,999.02,5.27,0.69,72.2,6.42,4.01,1246.9,1.08,184.0,0.0,winter
2020-01-08 09:00:00,999.02,5.49,1.3,74.3,6.71,4.19,1245.79,3.29,169.7,0.1,winter
2020-01-08 10:00:00,998.74,4.27,2.13,85.9,7.12,4.45,1250.71,4.43,147.8,0.0,winter
2020-01-08 11:00:00,998.89,4.12,2.48,89.0,7.31,4.56,1251.47,4.03,152.3,0.1,winter
2020-01-08 12:00:00,998.7,4.22,2.83,90.6,7.49,4.68,1250.7,2.64,165.9,0.0,winter
2020-01-08 13:00:00,998.58,4.44,3.58,94.1,7.9,4.93,1249.37,1.88,176.3,0.1,winter
2020-01-08 14:00:00,998.11,5.15,4.04,92.5,8.16,5.1,1245.47,3.19,155.9,0.0,winter
2020-01-08 15:00:00,997.73,5.92,4.17,88.5,8.24,5.15,1241.53,3.07,179.4,0.0,winter
2020-01-08 16:00:00,998.22,6.16,4.08,86.5,8.19,5.12,1241.09,1.4,165.2,0.0,winter
2020-01-08 17:00:00,998.48,6.03,3.97,86.6,8.12,5.07,1242.03,1.93,178.2,0.0,winter
2020-01-08 18:00:00,998.69,5.91,3.96,87.2,8.11,5.07,1242.81,2.9,155.7,0.0,winter
2020-01-08 19:00:00,998.66,5.96,4.02,87.3,8.15,5.09,1242.55,2.64,175.0,0.0,winter
2020-01-08 20:00:00,998.98,5.93,3.92,86.9,8.09,5.05,1243.11,1.92,181.6,0.0,winter
2020-01-08 21:00:00,998.87,5.8,3.86,87.3,8.06,5.03,1243.55,1.99,161.8,0.0,winter
2020-01-08 22:00:00,998.5,5.6,3.86,88.5,8.06,5.03,1243.98,2.81,170.5,0.0,winter
2020-01-08 23:00:00,998.62,5.47,4.0,90.2,8.14,5.08,1244.69,2.11,176.8,0.1,winter
2020-01-09 00:00:00,998.55,5.27,4.22,92.9,8.26,5.16,1245.43,1.84,183.1,0.1,winter
2020-01-09 01:00:00,998.09,5.01,4.34,95.4,8.33,5.21,1245.99,2.07,181.9,0.1,winter
2020-01-09 02:00:00,997.89,5.07,4.54,96.3,8.45,5.28,1245.4,1.26,215.2,0.1,winter
2020-01-09 03:00:00,997.48,5.2,4.72,96.7,8.56,5.36,1244.25,1.81,190.8,0.0,winter
2020-01-09 04:00:00,996.93,5.21,4.7,96.5,8.54,5.35,1243.57,1.71,204.8,0.1,winter
2020-01-09 05:00:00,996.06,5.22,4.77,96.9,8.59,5.38,1242.39,1.28,188.4,0.1,winter
2020-01-09 06:00:00,995.37,5.47,5.05,97.1,8.76,5.49,1240.34,1.1,197.0,0.1,winter
2020-01-09 07:00:00,994.53,5.56,5.06,96.6,8.77,5.5,1238.87,0.92,185.5,0.0,winter
2020-01-09 08:00:00,993.88,5.63,5.12,96.5,8.8,5.53,1237.75,1.51,189.5,0.0,winter
2020-01-09 09:00:00,993.42,5.71,5.15,96.2,8.82,5.54,1236.8,2.04,194.9,0.2,winter
2020-01-09 10:00:00,993.06,6.48,5.85,95.7,9.26,5.82,1232.74,3.06,195.0,0.1,winter
2020-01-09 11:00:00,992.34,6.85,5.97,94.1,9.34,5.87,1230.18,2.65,185.4,0.0,winter
2020-01-09 12:00:00,991.53,7.42,6.37,93.0,9.6,6.04,1226.55,1.53,176.1,0.0,winter
2020-01-09 13:00:00,990.21,7.86,6.69,92.3,9.82,6.19,1222.89,2.02,185.8,0.0,winter
2020-01-09 14:00:00,989.36,9.57,7.83,88.9,10.62,6.7,1214.08,5.72,198.6,0.0,winter
2020-01-09 15:00:00,989.12,10.28,7.86,84.9,10.64,6.72,1210.73,4.62,199.2,0.0,winter
2020-01-09 16:00:00,988.95,10.25,7.71,84.2,10.53,6.65,1210.7,6.3,208.8,0.0,winter
2020-01-09 17:00:00,988.63,10.06,7.63,84.8,10.47,6.61,1211.15,6.63,205.3,0.0,winter
2020-01-09 18:00:00,988.39,9.68,7.44,85.9,10.34,6.53,1212.54,4.62,201.7,0.0,winter
2020-01-09 19:00:00,988.0,9.68,7.56,86.6,10.42,6.59,1212.02,3.77,203.0,0.0,winter
2020-01-09 20:00:00,987.84,9.32,7.78,90.1,10.58,6.69,1213.29,1.88,184.3,0.1,winter
2020-01-09 21:00:00,987.53,9.33,7.79,90.1,10.59,6.7,1212.86,2.97,169.8,0.0,winter
2020-01-09 22:00:00,987.17,10.04,8.15,88.0,10.85,6.86,1209.26,2.83,203.7,0.0,winter
2020-01-09 23:00:00,986.92,9.76,8.19,89.9,10.88,6.88,1210.14,3.18,208.8,0.0,winter
2020-01-10 00:00:00,986.72,10.03,7.95,86.9,10.7,6.78,1208.82,3.91,208.8,0.0,winter
2020-01-10 01:00:00,986.58,9.86,7.55,85.5,10.41,6.59,1209.51,0.53,351.8,0.0,winter
2020-01-10 02:00:00,986.28,9.35,7.47,88.0,10.36,6.56,1211.35,2.36,177.8,0.0,winter
2020-01-10 03:00:00,986.56,10.39,6.64,77.5,9.78,6.19,1207.51,4.37,224.1,0.0,winter
2020-01-10 04:00:00,986.72,10.21,6.12,75.7,9.44,5.97,1208.64,4.08,212.8,0.0,winter
2020-01-10 05:00:00,986.99,9.09,6.43,83.4,9.64,6.1,1213.67,4.65,209.5,0.1,winter
2020-01-10 06:00:00,987.19,8.75,6.29,84.5,9.55,6.04,1215.43,2.86,194.8,0.0,winter
2020-01-10 07:00:00,987.86,8.88,5.75,80.7,9.2,5.81,1215.86,4.17,208.1,0.0,winter
2020-01-10 08:00:00,988.38,8.75,5.68,81.0,9.15,5.78,1217.08,3.61,226.7,0.0,winter
2020-01-10 09:00:00,989.28,8.73,5.34,79.2,8.94,5.64,1218.38,3.65,205.0,0.0,winter
2020-01-10 10:00:00,989.97,8.88,4.74,75.2,8.57,5.4,1218.75,3.79,207.1,0.0,winter
2020-01-10 11:00:00,990.4,9.27,4.38,71.4,8.36,5.27,1217.7,6.46,210.4,0.0,winter
2020-01-10 12:00:00,990.75,9.08,4.84,74.7,8.63,5.44,1218.83,2.76,192.2,0.0,winter
2020-01-10 13:00:00,990.4,8.94,5.06,76.6,8.77,5.53,1218.94,2.98,190.3,0.0,winter
2020-01-10 14:00:00,990.47,9.07,4.79,74.5,8.6,5.42,1218.54,5.25,206.5,0.0,winter
2020-01-10 15:00:00,990.97,9.14,4.55,72.9,8.46,5.33,1218.92,4.08,208.4,0.0,winter
2020-01-10 16:00:00,991.46,8.9,4.59,74.3,8.48,5.34,1220.55,3.62,197.7,0.0,winter
2020-01-10 17:00:00,991.98,8.64,4.75,76.5,8.58,5.4,1222.27,3.07,208.8,0.0,winter
2020-01-10 18:00:00,993.23,6.86,4.64,85.7,8.51,5.35,1231.63,3.32,248.8,0.0,winter
2020-01-10 19:00:00,994.61,6.72,4.28,84.4,8.3,5.21,1234.08,1.65,238.8,0.0,winter
2020-01-10 20:00:00,995.6,6.81,4.28,83.9,8.3,5.2,1234.92,2.29,256.6,0.0,winter
2020-01-10 21:00:00,996.65,6.0,2.61,78.8,7.37,4.62,1240.23,2.77,277.6,0.0,winter
